28.9	-51.2273
29	-51.2274
29.1	-51.2275
29.2	-51.2276
29.3	-51.2278
29.4	-51.2279
29.5	-51.228
29.6	-51.2281
29.7	-51.2282
29.8	-51.2284
29.9	-51.2285
30	-51.2286
30.1	-51.2287
30.2	-51.2288
30.3	-51.2289
30.4	-51.229
30.5	-51.2292
30.6	-51.2293
30.7	-51.2294
30.8	-51.2295
30.9	-51.2296
31	-51.2297
31.1	-51.2298
31.2	-51.2299
31.3	-51.23
31.4	-51.2301
31.5	-51.2302
31.6	-51.2303
31.7	-51.2304
31.8	-51.2305
31.9	-51.2306
32	-51.2307
32.1	-51.2308
32.2	-51.2309
32.3	-51.231
32.4	-51.2311
32.5	-51.2311
32.6	-51.2312
32.7	-51.2313
32.8	-51.2314
32.9	-51.2315
33	-51.2316
33.1	-51.2317
33.2	-51.2318
33.3	-51.2319
33.4	-51.2319
33.5	-51.232
33.6	-51.2321
33.7	-51.2322
33.8	-51.2323
33.9	-51.2323
34	-51.2324
34.1	-51.2325
34.2	-51.2326
34.3	-51.2327
34.4	-51.2327
34.5	-51.2328
34.6	-51.2329
34.7	-51.233
34.8	-51.233
34.9	-51.2331
35	-51.2332
35.1	-51.2333
35.2	-51.2333
35.3	-51.2334
35.4	-51.2335
35.5	-51.2336
35.6	-51.2336
35.7	-51.2337
35.8	-51.2338
35.9	-51.2338
36	-51.2339
36.1	-51.234
36.2	-51.234
36.3	-51.2341
36.4	-51.2342
36.5	-51.2342
36.6	-51.2343
36.7	-51.2344
36.8	-51.2344
36.9	-51.2345
37	-51.2345
37.1	-51.2346
37.2	-51.2347
37.3	-51.2347
37.4	-51.2348
37.5	-51.2348
37.6	-51.2349
37.7	-51.235
37.8	-51.235
37.9	-51.2351
38	-51.2351
38.1	-51.2352
38.2	-51.2352
38.3	-51.2353
38.4	-51.2354
38.5	-51.2354
38.6	-51.2355
38.7	-51.2355
38.8	-51.2356
38.9	-51.2356
39	-51.2357
39.1	-51.2357
39.2	-51.2358
39.3	-51.2358
39.4	-51.2359
39.5	-51.2359
39.6	-51.236
39.7	-51.236
39.8	-51.2361
39.9	-51.2361
40	-51.2362
40.1	-51.2362
40.2	-51.2363
40.3	-51.2363
40.4	-51.2364
40.5	-51.2364
40.6	-51.2365
40.7	-51.2365
40.8	-51.2366
40.9	-51.2366
41	-51.2366
41.1	-51.2367
41.2	-51.2367
41.3	-51.2368
41.4	-51.2368
41.5	-51.2369
41.6	-51.2369
41.7	-51.2369
41.8	-51.237
41.9	-51.237
42	-51.2371
42.1	-51.2371
42.2	-51.2372
42.3	-51.2372
42.4	-51.2372
42.5	-51.2373
42.6	-51.2373
42.7	-51.2374
42.8	-51.2374
42.9	-51.2374
43	-51.2375
43.1	-51.2375
43.2	-51.2375
43.3	-51.2376
43.4	-51.2376
43.5	-51.2377
43.6	-51.2377
43.7	-51.2377
43.8	-51.2378
43.9	-51.2378
44	-51.2378
44.1	-51.2379
44.2	-51.2379
44.3	-51.2379
44.4	-51.238
44.5	-51.238
44.6	-51.238
44.7	-51.2381
44.8	-51.2381
44.9	-51.2381
45	-51.2382
45.1	-51.2382
45.2	-51.2382
45.3	-51.2383
45.4	-51.2383
45.5	-51.2383
45.6	-51.2384
45.7	-51.2384
45.8	-51.2384
45.9	-51.2385
46	-51.2385
46.1	-51.2385
46.2	-51.2386
46.3	-51.2386
46.4	-51.2386
46.5	-51.2386
46.6	-51.2387
46.7	-51.2387
46.8	-51.2387
46.9	-51.2388
47	-51.2388
47.1	-51.2388
47.2	-51.2388
